model.name,totaltips,dispersal,amp,freq,niche.ev.rate,breath.ev.rate,phylo.sig,Me,geo.mode,slope,enviro.mode,enviro.hetero,RO0,RO50,RO75,RO90,RO100,ROmean,asymmean,bimod100,bimod90,bimod75,bimod50,ROkurt,ROskew,TOmean,TOsd,RSskew,RSmean,RSsd,RDmean,RDsd,ROslope,ROintercept,asymslope,asymintercept,RDslope,RDintercept,Beta,CI,SI,gamma,ARCint,ARCslope
run_5819_VM_shortertimestep_3,117,5,1.705716,1.836889,1.292745,0.7133474,0.6992309,214.7317,mixed,0.0513713,linear,1,0.411764706,0.558823529,0.411764706,0.352941176,0.235294118,0.497251252,0.202061365,0.387543253,0.581314879,0.678200692,0.920415225,1.163710647,-0.072238454,0,0.576132156,0.594593668,0.353626728,0.306113873,0.037356916,0.119432166,-1.211522964,0.618774297,0.450303707,0.156893193,0.3445641,0.002795063,-0.6235814,422,1028,-0.593113108,0.500153879,-0.308086582
run_5819_VM_shortertimestep_6,131,5,0.2877869,1.255612,1.811892,0.4640333,0.4630677,100.3662,mixed,0.03183338,linear,0,0.390243902,0.56097561,0.43902439,0.390243902,0.170731707,0.513642973,0.225967424,0.266508031,0.609161214,0.685306365,0.875669244,1.206552377,-0.121693876,0,0.558348207,0.712863295,0.318812522,0.318653886,0.009672036,0.020069552,-0.983968567,0.595868759,-0.101205265,0.234424689,0.091895996,0.001992705,-0.466157621,646,1290,-0.55785547,0.523318272,-0.314498144
run_582_VM_shortertimestep_4,42,8,0.7456357,1.017808,0.2576781,0.5075517,0.3749313,80.78801,parapatric,0.01211719,linear,0,0.166666667,0.833333333,0.75,0.666666667,0.25,0.767085811,0.260761915,0.166666667,0.444444444,0.5,0.555555556,3.239943911,-1.397352282,0.060086996,0.522049006,-0.306714968,0.565842809,0.355100152,0.003992776,0.009927344,1.758231856,0.590719961,1.045429268,0.155896325,-0.034549595,0.007458399,-1.02619726,147,309,-0.63078419,0.166666667,0.833333333
run_582_VM_shortertimestep_5,11,7,0.2537386,0.8653787,0.5736779,0.2317977,0.9488647,135.662,dispersal,0.02909009,linear,1,0.5,0.5,0.5,0.5,0,0.460964409,0.195710787,0,1,1,1,1,0,0.126578645,0.179009237,-0.197882833,0.56378734,0.335024429,0.003571247,0.005050507,8.358821278,-0.061461921,3.39053695,-0.016197772,-0.064758621,0.007618661,-1.780810102,30,56,0.135041249,0.5,0.5
run_582_VM_shortertimestep2_4,107,9,0.5935268,0.3905725,1.019487,0.7988317,0.766801,81.76463,allopatric,0.04882158,linear,1,0.142857143,0.628571429,0.571428571,0.457142857,0.171428571,0.649442665,0.335280517,0.097959184,0.26122449,0.326530612,0.359183673,1.727813518,-0.589509568,-0.001123956,0.296494384,-0.012859524,0.483790572,0.314020035,0.003961391,0.015935071,-0.280077418,0.683022499,-0.647781967,0.412946225,0.063198999,-0.003615842,-0.58355576,398,932,-1.401224659,0.727444355,-0.251708085
run_582_VM_shortertimestep2_5,122,8,1.824391,1.417414,0.6184902,0.2015982,0.8836752,242.5044,allopatric,0.01266819,linear,0,0.146341463,0.731707317,0.56097561,0.43902439,0.146341463,0.684824721,0.399701527,0.085663296,0.256989887,0.328375967,0.428316478,2.395014286,-0.889820369,-0.057775046,0.30112354,-0.078655069,0.538439651,0.278299396,0.001045243,0.002555864,1.201411894,0.550580691,0.053795573,0.393690487,-0.005265634,0.001633618,-0.655888914,608,1184,0.018566684,0.673849342,0.133112841
run_5820_VM_shortertimestep_1,11,4,1.208532,1.301677,0.08263001,0.7049755,0.9634911,248.6632,allopatric,0.01035436,sine,1,0.5,0,0,0,0,0.117283951,0.250502178,0,0,0,0,1,0,-0.712428303,0.384047622,0.00202095,0.450265553,0.377925988,0.003571247,0.005050507,53.95061728,-0.234567901,-108.4822247,0.957994948,-1.642773831,0.01428499,-1.76965286,27,51,1.71901807,0.385384409,0.590838319
run_5820_VM_shortertimestep_2,45,4,1.531229,0.6204984,1.806808,0.3147553,0.3599844,137.4382,allopatric,0.04784023,linear,1,0.4,0.4,0.4,0.2,0.133333333,0.401469805,0.27161861,0.213333333,0.32,0.64,0.64,1.304144863,0.345298462,0,0.50474788,0.7612672,0.299521977,0.272098101,0.030781251,0.056769229,0.195251123,0.384971842,-1.189601531,0.372135329,0.471816714,-0.009085433,-0.679920298,163,335,0.938457084,0.433146749,-0.270905782
run_5820_VM_shortertimestep_3,65,4,0.6118995,0.3055454,1.043355,0.8380425,0.9804981,89.7241,sympatric,0.02924495,sine,0,0.181818182,0.727272727,0.681818182,0.5,0.454545455,0.703637718,0.20338567,0.330578512,0.363636364,0.495867769,0.52892562,2.167509063,-0.970341611,0,0.509836967,0.282077953,0.412900566,0.327321395,0.013183136,0.036120059,-3.755355425,1.032886619,-0.152079735,0.216719185,0.173870793,-0.002060899,-0.280938683,235,509,-1.465305072,0.751867301,-0.544927337
run_5820_VM_shortertimestep_6,79,4,1.81913,1.036848,1.562502,0.08994793,0.3693119,175.3708,sympatric,0.009707029,sine,1,0.076923077,0.807692308,0.769230769,0.576923077,0.423076923,0.814573739,0.182049082,0.130177515,0.177514793,0.236686391,0.24852071,5.069036519,-1.760063294,0.088387886,0.424780204,0.592523359,0.332130237,0.322189446,0.016021306,0.078829092,-1.171112325,0.886168056,-0.275827233,0.198911395,0.342101599,-0.004892597,-0.499482612,328,704,2.815404031,0.73620924,-0.495300186
run_5821_VM_shortertimestep_1,81,8,0.3334783,0.4266236,1.080191,0.2061951,0.5884682,148.6571,dispersal,0.03985616,linear,0,0.444444444,0.407407407,0.222222222,0.185185185,0.111111111,0.361413945,0.229134984,0.197530864,0.329218107,0.395061728,0.724279835,1.520852814,0.491881505,-0.029180552,0.515792307,0.440783369,0.333556523,0.246445786,0.008783852,0.013152584,2.865842249,0.128362361,0.077485397,0.222833837,-0.042533298,0.012242679,-0.707128304,382,752,0.736457321,0.361464911,0.115952691
run_5821_VM_shortertimestep_2,115,9,0.6561756,1.495552,0.8092469,0.8135358,0.7350073,237.4443,parapatric,0.01833843,sine,0,0.216216216,0.594594595,0.567567568,0.432432432,0.297297297,0.593782827,0.189440182,0.257121987,0.373995617,0.490869248,0.514243974,1.314267383,-0.403701649,0,0.554130214,0.401522188,0.398906188,0.344374038,0.002010364,0.004465053,0.30123739,0.569383776,-0.074253078,0.195454391,0.001307953,0.001904425,0.650558747,336,948,1.000800028,0.600673043,-0.213151569
run_5821_VM_shortertimestep_3,135,8,1.486953,1.180599,0.04579381,0.339262,0.6054752,189.7302,dispersal,0.05874675,linear,1,0.111111111,0.472222222,0.194444444,0.083333333,0.055555556,0.435328302,0.313896612,0.024691358,0.037037037,0.086419753,0.209876543,2.004725466,0.239700265,-0.101007205,0.264029088,-0.066123299,0.454687289,0.256034269,0.001190416,0.004004168,0.979310693,0.380571898,1.235050025,0.244841001,-0.01004226,0.001751911,-1.085181883,816,1474,0.353457663,0.575998246,0.220649551
run_5821_VM_shortertimestep_6,149,9,0.9440769,1.911902,0.5649407,0.5887284,0.7443348,75.36471,dispersal,0.03920883,linear,0,0.354166667,0.5,0.416666667,0.395833333,0.1875,0.496573351,0.241076899,0.265625,0.560763889,0.590277778,0.708333333,1.220775766,0.012125138,-0.034683615,0.486088501,0.372857398,0.405857206,0.322825267,0.004451067,0.008358062,0.714559965,0.431047106,-0.0465603,0.24534655,-0.000609843,0.004506991,-0.197827863,675,1411,-1.000962674,0.526923713,-0.026830227
